1:	Action: S_2
 	Input Queue: [;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

49:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, factor, 33]
 	Input Queue: [;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

50:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, factor, 33, term', 55]
 	Input Queue: [;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

51:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, term, 32]
 	Input Queue: [;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

52:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, term, 32, expr', 50]
 	Input Queue: [;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

53:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, expr, 84]
 	Input Queue: [;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

54:	Action: S_97
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, expr, 84, ;, 97]
 	Input Queue: [char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

55:	Action: R_assignmentStmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, assignmentStmt, 34]
 	Input Queue: [char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

56:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38]
 	Input Queue: [char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

57:	Action: S_4
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, char, 4]
 	Input Queue: [id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

58:	Action: R_type_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15]
 	Input Queue: [id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

59:	Action: S_39
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39]
 	Input Queue: [=, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

60:	Action: S_63
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63]
 	Input Queue: [char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

61:	Action: S_29
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, char_constant, 29]
 	Input Queue: [;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

62:	Action: R_factor_2
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, factor, 33]
 	Input Queue: [;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

63:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, factor, 33, term', 55]
 	Input Queue: [;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

64:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, term, 32]
 	Input Queue: [;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

65:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, term, 32, expr', 50]
 	Input Queue: [;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

66:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, expr, 84]
 	Input Queue: [;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

67:	Action: S_97
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, expr, 84, ;, 97]
 	Input Queue: [char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

68:	Action: R_assignmentStmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, assignmentStmt, 34]
 	Input Queue: [char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

69:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38]
 	Input Queue: [char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

70:	Action: S_4
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, char, 4]
 	Input Queue: [id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

71:	Action: R_type_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15]
 	Input Queue: [id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

72:	Action: S_39
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39]
 	Input Queue: [[, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

73:	Action: S_64
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, [, 64]
 	Input Queue: [integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

74:	Action: S_85
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, [, 64, integer_constant, 85]
 	Input Queue: [], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

75:	Action: S_98
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, id, 39, [, 64, integer_constant, 85, ], 98]
 	Input Queue: [=, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

76:	Action: R_charArray_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, charArray, 40]
 	Input Queue: [=, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

77:	Action: S_65
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, charArray, 40, =, 65]
 	Input Queue: [string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

78:	Action: S_86
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, charArray, 40, =, 65, string_constant, 86]
 	Input Queue: [;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

79:	Action: S_99
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, type, 15, charArray, 40, =, 65, string_constant, 86, ;, 99]
 	Input Queue: [if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

80:	Action: R_charassignmentStmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, charassignmentStmt, 26]
 	Input Queue: [if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

81:	Action: R_stmt_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38]
 	Input Queue: [if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

82:	Action: S_19
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19]
 	Input Queue: [(, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

83:	Action: S_44
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44]
 	Input Queue: [id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

84:	Action: S_41
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, id, 41]
 	Input Queue: [>, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

85:	Action: R_factor_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, factor, 33]
 	Input Queue: [>, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

86:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, factor, 33, term', 55]
 	Input Queue: [>, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

87:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32]
 	Input Queue: [>, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

88:	Action: S_53
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, >, 53]
 	Input Queue: [integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

89:	Action: R_relop_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, relop, 54]
 	Input Queue: [integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

90:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, relop, 54, integer_constant, 27]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

91:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, relop, 54, factor, 33]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

92:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, relop, 54, factor, 33, term', 55]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

93:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, relop, 54, term, 81]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

94:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, relop, 54, term, 81, expr', 95]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

95:	Action: R_expr'_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, term, 32, expr', 50]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

96:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76]
 	Input Queue: [), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

97:	Action: S_92
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92]
 	Input Queue: [{, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

98:	Action: S_102
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102]
 	Input Queue: [id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

99:	Action: S_17
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17]
 	Input Queue: [=, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

100:	Action: S_43
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, if, 19, (, 44, expr, 76, ), 92, {, 102, id, 17, =, 43]
